emotion ,language,song,youtubelink,spotifylink
happy,Hindi,Balam Pichkari,https://www.youtube.com/watch?v=ybE9JbnoCcw,https://open.spotify.com/track/4wYyBAvkJxgMIBXj4oc1NQ
happy,Hindi,Kar Gayi Chull,https://www.youtube.com/watch?v=dRW-MTa1vEA,https://open.spotify.com/track/6yH7yurEwBSecj3XS8vFZe
happy,Hindi,Senorita,https://www.youtube.com/watch?v=U1IuHcuQ62c,https://open.spotify.com/track/6b8zsc3BxT59Yg62wjt7qA
sad,Hindi,Tum Hi Ho,https://www.youtube.com/watch?v=Umqb9KENgmk,https://open.spotify.com/track/56zZ48jdyY2oDXHVnwg5Di
sad,Hindi,Agar Tum Saath Ho,https://www.youtube.com/watch?v=sK7riqg2mr4,https://open.spotify.com/track/3hkC9EHFZNQPXrtl8WPHnX
sad,Hindi,Phir Le Aaya Dil,https://www.youtube.com/watch?v=k6BnSIs3XUQ,https://open.spotify.com/track/2OvldWM8rVnp7QCn9eCrr1
sad,Hindi,Hamari Adhuri Kahani,https://www.youtube.com/watch?v=f3FFOBrMmdg,https://open.spotify.com/track/6GSdvyMHLfbw1aC1ffifLf
sad,Hindi,Bekhayali,https://www.youtube.com/watch?v=RqiQmj4hlzM,https://open.spotify.com/track/1feANd8EfcDP5UqSvbheM3
angry,Hindi,Zinda,https://www.youtube.com/watch?v=fP6MNznzVcQ,https://open.spotify.com/track/6Zo8diPZAjkUH4rWDMgeiE
angry,Hindi,Khoon Chala,https://www.youtube.com/watch?v=3fefK4XZCmw,https://open.spotify.com/track/56y6UhrAnXeSovZIE497DL
angry,Hindi,Azaadiyan,https://www.youtube.com/watch?v=iAX7-HWCVcI,https://open.spotify.com/track/4vLEY203BopDMTh3IwzDEn
angry,Hindi,Bezubaan (ABCD),https://www.youtube.com/watch?v=7HhG7YmOkMM,https://open.spotify.com/track/2ota18jyZVMGvwQ0IV8qz7
angry,Hindi,Sultan Title Track,https://www.youtube.com/watch?v=abiL84EAWSY,https://open.spotify.com/track/3LJhJG3EsmhCq9bNn047lu
neutral,Hindi,Tera Ban Jaunga (Lo-fi),https://www.youtube.com/watch?v=iqyCMg-baKg,https://open.spotify.com/track/7arcV2xCShyUXReMVt3IPU
neutral,Hindi,Raabta (Lo-fi),https://www.youtube.com/watch?v=lJ2ZUiba8ug,https://open.spotify.com/track/0ZA6sVOfXaSZtzNQYmEvjJ
neutral,Hindi,Shayad (Lo-fi mix),https://www.youtube.com/watch?v=vi9HJqc1b0o,https://open.spotify.com/track/4kSWX4wIit3gtoonolidym
